"Plot Title: Logger 3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20102225, SEN S/N: 20102225)","Coupler Attached (LGR S/N: 20102225)","Host Connected (LGR S/N: 20102225)","Stopped (LGR S/N: 20102225)","End Of File (LGR S/N: 20102225)"
1,03/31/20 10:30:00 AM,22.429,,,,
2,03/31/20 10:35:00 AM,22.046,,,,
3,03/31/20 10:40:00 AM,21.664,,,,
4,03/31/20 10:45:00 AM,21.473,,,,
5,03/31/20 10:50:00 AM,21.282,,,,
6,03/31/20 10:55:00 AM,21.091,,,,
7,03/31/20 11:00:00 AM,20.996,,,,
8,03/31/20 11:05:00 AM,20.805,,,,
9,03/31/20 11:10:00 AM,20.710,,,,
10,03/31/20 11:15:00 AM,20.615,,,,
11,03/31/20 11:20:00 AM,20.615,,,,
12,03/31/20 11:25:00 AM,20.519,,,,
13,03/31/20 11:30:00 AM,20.519,,,,
14,03/31/20 11:35:00 AM,20.424,,,,
15,03/31/20 11:40:00 AM,20.424,,,,
16,03/31/20 11:45:00 AM,20.424,,,,
17,03/31/20 11:50:00 AM,20.329,,,,
18,03/31/20 11:55:00 AM,20.329,,,,
19,03/31/20 12:00:00 PM,20.329,,,,
20,03/31/20 12:05:00 PM,20.329,,,,
21,03/31/20 12:10:00 PM,20.329,,,,
22,03/31/20 12:15:00 PM,20.329,,,,
23,03/31/20 12:20:00 PM,20.234,,,,
24,03/31/20 12:25:00 PM,20.234,,,,
25,03/31/20 12:30:00 PM,20.234,,,,
26,03/31/20 12:35:00 PM,20.234,,,,
27,03/31/20 12:40:00 PM,20.234,,,,
28,03/31/20 12:45:00 PM,20.234,,,,
29,03/31/20 12:50:00 PM,20.234,,,,
30,03/31/20 12:55:00 PM,20.234,,,,
31,03/31/20 01:00:00 PM,20.234,,,,
32,03/31/20 01:05:00 PM,20.234,,,,
33,03/31/20 01:10:00 PM,20.234,,,,
34,03/31/20 01:15:00 PM,20.234,,,,
35,03/31/20 01:20:00 PM,20.234,,,,
36,03/31/20 01:25:00 PM,20.234,,,,
37,03/31/20 01:30:00 PM,20.234,,,,
38,03/31/20 01:35:00 PM,20.234,,,,
39,03/31/20 01:40:00 PM,20.234,,,,
40,03/31/20 01:45:00 PM,20.234,,,,
41,03/31/20 01:50:00 PM,20.234,,,,
42,03/31/20 01:55:00 PM,20.234,,,,
43,03/31/20 02:00:00 PM,20.234,,,,
44,03/31/20 02:05:00 PM,20.234,,,,
